# Region type : patch outlet
# Faces  :    51
# Area   :    2.176341e-04
# Time        	areaAverage(M0)	areaAverage(M1)	areaAverage(M2)	areaAverage(M3)
0             	3.501424e+10	5.779525e+05	1.114264e+01	2.231277e-04
2             	3.501424e+10	5.779525e+05	1.114264e+01	2.231277e-04
